model_path,stochastic_avg,stochastic_max,stochastic_std,stochastic_weighted,deterministic_avg,deterministic_max,deterministic_std,deterministic_weighted
exp_old\exp_20251112_173240\checkpoints\best_model_improved_full.pt,7.9,23,7.462573282722254,9.826871335863888,24.0,56,16.769019053003667,28.761549047349817
exp_old\exp_20251112_181535\checkpoints\best_model_improved_full.pt,20.4,35,12.009995836801945,23.299500208159902,25.1,74,20.930599609184636,31.453470019540767
exp_old\exp_20251112_185455\checkpoints\best_model_improved_full.pt,115.7,362,99.05760950073447,146.94711952496328,204.5,580,171.70861946914604,253.9145690265427
exp_old\exp_20251112_193456\checkpoints\best_model_improved_full.pt,168.8,459,135.11757842708698,207.94412107864568,723.6,3037,918.1485936383065,981.3925703180846
exp_old\exp_20251112_201415\checkpoints\best_model_improved_full.pt,18.4,46,16.280049139974977,22.18599754300125,275.2,912,237.67616624306274,354.51619168784686
exp_old\exp_20251112_205344\checkpoints\best_model_improved_full.pt,196.2,597,177.57803918277733,247.02109804086112,741.1,4970,1443.8031340871926,1165.9098432956403
exp_old\exp_20251112_213339\checkpoints\best_model_improved_full.pt,27.0,72,27.298351598585583,32.83508242007073,13.6,54,16.734395716607157,18.163280214169642
exp_old\search_20251113_194810_trial001_e3a1db65\checkpoints\best_model_improved_full.pt,1.0,1,0.0,1.1,1.0,1,0.0,1.1
exp_old\search_20251113_203426_trial002_d5491beb\checkpoints\best_model_improved_full.pt,140.9,485,161.75193971016236,181.31240301449188,465.0,922,240.24695627624504,545.1876521861878
exp_old\search_20251113_212012_trial003_ad1c8d68\checkpoints\best_model_improved_full.pt,89.3,406,117.82363939379907,124.00881803031005,278.3,1408,392.5735727223625,399.4713213638819
exp_old\search_20251113_220422_trial004_ee7ae485\checkpoints\best_model_improved_full.pt,155.4,351,128.44391772287233,184.0778041138564,468.5,2008,574.1021250613866,640.5948937469307
exp_old\search_20251113_224949_trial005_d1d63997\checkpoints\best_model_improved_full.pt,108.9,505,147.0404366152386,152.04797816923806,329.4,890,245.06905149365556,406.1465474253172
exp_old\search_20251113_233431_trial006_902f6989\checkpoints\best_model_improved_full.pt,167.9,553,171.11309125838383,214.64434543708083,340.3,683,191.79783627559516,399.01010818622024
exp_old\search_20251114_001931_trial007_25d1e89c\checkpoints\best_model_improved_full.pt,181.6,626,168.11020195098214,235.7944899024509,388.1,847,281.5338167964907,458.72330916017546
exp_old\search_20251114_010504_trial008_a770b73c\checkpoints\best_model_improved_full.pt,213.9,753,217.58972861787387,278.3205135691063,670.5,3337,997.989203348413,954.3005398325794
exp_old\search_20251117_154448_trial001_cc026a07\checkpoints\best_model_improved_full.pt,46.2,137,45.1703442537247,57.64148278731377,319.8,3093,924.4636066390065,582.8768196680497
exp_old\search_20251117_162512_trial002_be26d93f\checkpoints\best_model_improved_full.pt,124.9,415,136.96309721965255,159.5518451390174,386.5,1148,343.0210634931913,484.14894682534043
exp_old\search_20251117_170436_trial003_b5027f5b\checkpoints\best_model_improved_full.pt,169.5,428,110.05657635961606,206.7971711820192,252.4,827,242.76045806514705,322.96197709674266
exp_old\search_20251117_174505_trial004_d18d699d\checkpoints\best_model_improved_full.pt,95.9,332,118.46472048673394,123.17676397566332,227.8,618,209.43915584245462,279.1280422078773
exp_old\search_20251117_182535_trial005_123f0c73\checkpoints\best_model_improved_full.pt,133.6,301,101.0140584275278,158.6492970786236,235.4,532,168.38598516503683,280.1807007417482
exp_old\search_20251117_190610_trial006_947cc077\checkpoints\best_model_improved_full.pt,116.7,381,103.19597860381964,149.64020106980902,524.1,2333,727.9547307353666,721.0022634632318
exp_old\search_20251117_194722_trial007_577bb8a2\checkpoints\best_model_improved_full.pt,124.1,426,134.57076205476432,159.97146189726178,706.0,2006,726.8982047026942,870.2550897648653
exp_old\search_20251117_202705_trial008_9f242c3e\checkpoints\best_model_improved_full.pt,13.8,29,10.457533169921097,16.177123341503947,39.3,107,28.295052571076802,48.58524737144616
